dataset,model,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,protocol
ETTh1,Chronos-2,0.06255460530519485,0.19317948818206787,56.808195650577545,0.15418708096957193,single_horizon_scaled
ETTh1,PatchTST,0.0655461847782135,0.21323885023593903,45.84241831302643,0.12184326855742296,single_horizon_scaled
ETTh1,DLinear,0.06451328843832016,0.20678189396858215,42.80740088224411,0.20342572512876117,single_horizon_scaled
ETTh1,TimeMixer,0.09319471567869186,0.24685700237751007,50.68396991491318,0.23221861471861474,single_horizon_scaled
ETTh1,iTransformer,0.0664873719215393,0.2137404829263687,52.544367134571075,0.16197557089750397,single_horizon_scaled
ETTm1,Chronos-2,0.018342092633247375,0.10734555870294571,28.23785325884819,0.039199176723734686,single_horizon_scaled
ETTm1,PatchTST,0.022382525727152824,0.1215735599398613,25.29034349322319,0.03601910969229405,single_horizon_scaled
ETTm1,DLinear,0.016979552805423737,0.10121817886829376,20.07525059580803,0.031618453523443925,single_horizon_scaled
ETTm1,TimeMixer,0.017270883545279503,0.10414855927228928,20.409592360258102,0.03223836176261549,single_horizon_scaled
ETTm1,iTransformer,0.016392208635807037,0.10335976630449295,28.143657356500626,0.03528169988925803,single_horizon_scaled
ETTm2,Chronos-2,0.03759762644767761,0.15172699093818665,26.916284591075964,0.020937761069340016,single_horizon_scaled
ETTm2,PatchTST,0.028303807601332664,0.13650526106357574,24.32322702370584,0.018340290661719234,single_horizon_scaled
ETTm2,DLinear,0.03215963393449783,0.1541791707277298,27.589878882281482,0.020827308656256024,single_horizon_scaled
ETTm2,TimeMixer,0.030334999784827232,0.1477203071117401,28.58323500910774,0.018462158990906426,single_horizon_scaled
ETTm2,iTransformer,0.029792578890919685,0.14398637413978577,28.61923066660529,0.015883525020177564,single_horizon_scaled
Weather,Chronos-2,0.0008860474335961044,0.025922473520040512,8.058503305022896,0.05009079903147699,single_horizon_scaled
Weather,PatchTST,0.0010762662859633565,0.026510920375585556,4.4010257705594995,0.05217284282133906,single_horizon_scaled
Weather,DLinear,0.0019374997355043888,0.0370032973587513,10.013547335001931,0.049751327752272936,single_horizon_scaled
Weather,TimeMixer,0.0014921175315976143,0.03217163681983948,9.069053500374139,0.04735097163865546,single_horizon_scaled
Weather,iTransformer,0.001535693067125976,0.03271830826997757,10.638364545484364,0.04374813599761408,single_horizon_scaled
ESNet,Chronos-2,0.0,0.0,0.0,0.0,single_horizon_scaled
ESNet,PatchTST,0.0,0.0,0.0,0.0,single_horizon_scaled
ESNet,DLinear,7.742214647166179e-10,2.7818960006698035e-05,0.00934717059135437,0.0,single_horizon_scaled
ESNet,TimeMixer,0.0,0.0,0.0,0.0,single_horizon_scaled
ESNet,iTransformer,0.0,0.0,0.0,0.0,single_horizon_scaled
