dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,protocol,fig_path
ETTh1,Chronos-2,336,11520,0.06255461029955656,0.19317950343801862,0.10254187252547337,0.03351049072607382,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTh1_Chronos-2_h336_origin11520.png
ETTh1,DLinear,336,11520,0.07220073556363292,0.21886293813758304,0.08393189065568399,0.15018223775017253,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTh1_DLinear_h336_origin11520.png
ETTh1,PatchTST,336,11520,0.06834355428464758,0.2169186773570819,0.08170798723171618,0.021905148778261305,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTh1_PatchTST_h336_origin11520.png
ETTh1,TimeMixer,336,11520,0.07987855757260187,0.23013548849443083,0.09653736548008664,0.028824442261697867,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTh1_TimeMixer_h336_origin11520.png
ETTh1,iTransformer,336,11520,0.07439403599092803,0.2170179941225825,0.08139076641768987,0.02336889744429882,fastdtw_rolling_origin_scaled,results/h336_fastdtw_uncertainty/ETTh1_iTransformer_h336_origin11520.png
ETTh1,Chronos-2,336,12192,0.06070275826124064,0.18763073001589095,0.11158445607599746,0.0024849098509812794,fastdtw_rolling_origin_scaled,
ETTh1,DLinear,336,12192,0.026152657161396566,0.131865208027769,0.052897218597208695,0.022461417084096665,fastdtw_rolling_origin_scaled,
ETTh1,PatchTST,336,12192,0.1367337844925775,0.30137444424351284,0.12115211575962515,0.018931383551919267,fastdtw_rolling_origin_scaled,
ETTh1,TimeMixer,336,12192,0.027604042809399883,0.13647191674315845,0.052024159161684326,0.009823659402032418,fastdtw_rolling_origin_scaled,
ETTh1,iTransformer,336,12192,0.02848187732807109,0.13295696762631037,0.057805672875965775,0.01794578731365804,fastdtw_rolling_origin_scaled,
ETTh1,Chronos-2,336,12864,0.030227884730053507,0.13799308683900607,0.054484984219397604,0.06375295748196808,fastdtw_rolling_origin_scaled,
ETTh1,DLinear,336,12864,0.042387958342761406,0.16184157228269314,0.06560828025863116,0.06142816992101755,fastdtw_rolling_origin_scaled,
ETTh1,PatchTST,336,12864,0.03686603609800078,0.14880557102957528,0.0595230892165324,0.012842633084980024,fastdtw_rolling_origin_scaled,
