dataset,model,horizon_len,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,protocol,fig_path
ETTh1,Chronos-2,96,0.021392850021236542,0.11420091707259417,9.930030018091202,0.1648550724637681,single_horizon_scaled,results/h96/ETTh1_Chronos-2_h96.png
ETTh1,DLinear,96,0.08409566718576987,0.23543590999995756,19.353408557786565,0.03141666666666667,single_horizon_scaled,results/h96/ETTh1_DLinear_h96.png
ETTh1,PatchTST,96,0.07757718857670222,0.21870507776453776,18.59163683398821,0.022145669291338585,single_horizon_scaled,results/h96/ETTh1_PatchTST_h96.png
ETTh1,TimeMixer,96,0.07684170508503428,0.2284525324402009,18.715198083094794,0.027462121212121212,single_horizon_scaled,results/h96/ETTh1_TimeMixer_h96.png
ETTh1,iTransformer,96,0.065913768863625,0.22114453856344837,15.971849372884396,0.1283533105022831,single_horizon_scaled,results/h96/ETTh1_iTransformer_h96.png
ETTm1,Chronos-2,96,0.005150310293090839,0.06264259045322736,4.03282618522644,0.11541114790286976,single_horizon_scaled,results/h96/ETTm1_Chronos-2_h96.png
ETTm1,DLinear,96,0.0037013223144524783,0.05039369622921949,2.4268656373607573,0.05023640661938534,single_horizon_scaled,results/h96/ETTm1_DLinear_h96.png
ETTm1,PatchTST,96,0.008144084132674251,0.06857000199434547,4.4044598036621085,0.07012379227053141,single_horizon_scaled,results/h96/ETTm1_PatchTST_h96.png
ETTm1,TimeMixer,96,0.0037043942623317416,0.04686226137161705,2.679371838141337,0.05410671462829736,single_horizon_scaled,results/h96/ETTm1_TimeMixer_h96.png
ETTm1,iTransformer,96,0.006363742521677999,0.06962426105271317,3.997383332006116,0.06614219114219115,single_horizon_scaled,results/h96/ETTm1_iTransformer_h96.png
ETTm2,Chronos-2,96,0.013778758249544387,0.08103781140137774,4.553688888438046,0.02617296918767507,single_horizon_scaled,results/h96/ETTm2_Chronos-2_h96.png
ETTm2,DLinear,96,0.040944730291098894,0.17086347984943426,9.60607672568566,0.05725574712643678,single_horizon_scaled,results/h96/ETTm2_DLinear_h96.png
ETTm2,PatchTST,96,0.02933574979100279,0.11743889522907851,7.040396580603323,0.03336466165413534,single_horizon_scaled,results/h96/ETTm2_PatchTST_h96.png
ETTm2,TimeMixer,96,0.04182522293291796,0.1615510800292733,8.806884330615924,0.05405011655011655,single_horizon_scaled,results/h96/ETTm2_TimeMixer_h96.png
ETTm2,iTransformer,96,0.03483070974527225,0.14657276436197672,6.033302435783449,0.04977735368956743,single_horizon_scaled,results/h96/ETTm2_iTransformer_h96.png
Weather,Chronos-2,96,0.000873734273841127,0.025875958334609095,2.1333112671927665,0.12962147887323944,single_horizon_scaled,results/h96/Weather_Chronos-2_h96.png
Weather,DLinear,96,0.002242760931356866,0.03585403108710188,2.5904521254531327,0.20473251028806583,single_horizon_scaled,results/h96/Weather_DLinear_h96.png
Weather,PatchTST,96,0.0014925908700573788,0.027867620572379726,1.0556601019137901,0.13928772522522523,single_horizon_scaled,results/h96/Weather_PatchTST_h96.png
Weather,TimeMixer,96,0.0012205159603644938,0.026780643045941094,1.0442435778216943,0.18342681623931623,single_horizon_scaled,results/h96/Weather_TimeMixer_h96.png
Weather,iTransformer,96,0.002048423684431953,0.03574045395950024,3.383259922928684,0.03179824561403509,single_horizon_scaled,results/h96/Weather_iTransformer_h96.png
ESNet,Chronos-2,4321,1.4094628610237316,0.1938268636697953,837.5254146847874,0.0003641139558916414,single_horizon_scaled,results/h96/ESNet_Chronos-2_h4321.png
ESNet,DLinear,4321,1.4072007751635962,0.1887217981138742,815.4155524662347,0.043591812829654145,single_horizon_scaled,results/h96/ESNet_DLinear_h4321.png
ESNet,PatchTST,4321,1.4042710855275518,0.1991298301902063,857.1440904689664,0.02159417405071325,single_horizon_scaled,results/h96/ESNet_PatchTST_h4321.png
ESNet,TimeMixer,4321,1.4053837271907437,0.19428377971082297,837.4994111764241,0.014525101697461415,single_horizon_scaled,results/h96/ESNet_TimeMixer_h4321.png
