dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std,total_variation_ratio_mean_pm_std,total_variation_ratio_error_mean_pm_std,high_frequency_energy_ratio_mean_pm_std,high_frequency_energy_ratio_error_mean_pm_std
ETTh1,iTransformer,96,6,OT,univariate target-only,0.09795476979784445,0.0751214535950458,0.2533756746876688,0.11857792235963634,0.2011031790244735,0.13407055877575472,0.013892802271750103,0.021647964920717713,0.4145746548065014,0.04572930175606104,0.8855078232876589,0.10924217901876355,0.37178062099677395,0.07190288580643547,1.0043185843863833,0.1866770828619262,0.0980 $\pm$ 0.0751,0.2534 $\pm$ 0.1186,0.2011 $\pm$ 0.1341,0.0139 $\pm$ 0.0216,0.4146 $\pm$ 0.0457,0.8855 $\pm$ 0.1092,0.3718 $\pm$ 0.0719,1.0043 $\pm$ 0.1867
ETTm1,Chronos-2,96,6,OT,univariate target-only,0.08016495912771716,0.08107222665501784,0.2073387952728404,0.12966280639781297,0.17202290019591282,0.1490207868513285,0.035385533459407335,0.046219695388625956,0.11213641577703803,0.10202934615487719,2.506363111135675,0.847938468941556,0.11498228116510446,0.12130340968242201,2.6002685994611663,1.0101796550193742,0.0802 $\pm$ 0.0811,0.2073 $\pm$ 0.1297,0.1720 $\pm$ 0.1490,0.0354 $\pm$ 0.0462,0.1121 $\pm$ 0.1020,2.5064 $\pm$ 0.8479,0.1150 $\pm$ 0.1213,2.6003 $\pm$ 1.0102
ETTm1,DLinear,96,6,OT,univariate target-only,0.08514308392688834,0.10829382368715175,0.20596811227773726,0.15614190593694066,0.1431899340026283,0.17998488973570903,0.05916264467764196,0.05665492654213237,0.9664225301754547,0.2183718965692459,0.17463789542277966,0.17020827357411838,0.5741618803444858,0.169142166780335,0.599145342715449,0.34433743647074416,0.0851 $\pm$ 0.1083,0.2060 $\pm$ 0.1561,0.1432 $\pm$ 0.1800,0.0592 $\pm$ 0.0567,0.9664 $\pm$ 0.2184,0.1746 $\pm$ 0.1702,0.5742 $\pm$ 0.1691,0.5991 $\pm$ 0.3443
ETTm1,PatchTST,96,6,OT,univariate target-only,0.08091034717199165,0.0834905061931784,0.20345902202469915,0.13141440722320155,0.1398893035931748,0.12443068903835879,0.046632364504635176,0.05425186241602625,0.35085563666404757,0.07596942477323712,1.0692638228462135,0.23643917933331998,0.22970272774055656,0.060265773438558864,1.5044381342854478,0.2953930890510269,0.0809 $\pm$ 0.0835,0.2035 $\pm$ 0.1314,0.1399 $\pm$ 0.1244,0.0466 $\pm$ 0.0543,0.3509 $\pm$ 0.0760,1.0693 $\pm$ 0.2364,0.2297 $\pm$ 0.0603,1.5044 $\pm$ 0.2954
ETTm1,TimeMixer,96,6,OT,univariate target-only,0.07625419528755212,0.087480544298933,0.19367999769785427,0.143936921730068,0.14708126481133169,0.16232471730324377,0.03508635654058254,0.05262338336721644,0.5876178696877323,0.2583407866757511,0.6233956296734113,0.4134292150031631,0.356144684503709,0.14752405363564783,1.1028522247862746,0.4117002040242253,0.0763 $\pm$ 0.0875,0.1937 $\pm$ 0.1439,0.1471 $\pm$ 0.1623,0.0351 $\pm$ 0.0526,0.5876 $\pm$ 0.2583,0.6234 $\pm$ 0.4134,0.3561 $\pm$ 0.1475,1.1029 $\pm$ 0.4117
ETTm1,TimesFM,96,6,OT,univariate target-only,0.07578390937024233,0.06495790505639165,0.20720017111549774,0.10934495615928351,0.17409130592851596,0.13060751940042747,0.03277148864431178,0.05735843892276889,0.09612165468086438,0.049449810000573205,2.461236754873317,0.546107603735315,0.08882294105897139,0.06706846639393978,2.6460092455511615,0.7287191374858415,0.0758 $\pm$ 0.0650,0.2072 $\pm$ 0.1093,0.1741 $\pm$ 0.1306,0.0328 $\pm$ 0.0574,0.0961 $\pm$ 0.0494,2.4612 $\pm$ 0.5461,0.0888 $\pm$ 0.0671,2.6460 $\pm$ 0.7287
ETTm1,iTransformer,96,6,OT,univariate target-only,0.07881439727057309,0.07646094031101798,0.2063949560075555,0.12952003681097848,0.16173177899069685,0.15294049318233388,0.02449619403003581,0.0303702205693767,0.3565692485642343,0.11406014699903506,1.082962669944352,0.37255138524898496,0.23668319735052631,0.08017948543503312,1.4973025746216475,0.38589706047941713,0.0788 $\pm$ 0.0765,0.2064 $\pm$ 0.1295,0.1617 $\pm$ 0.1529,0.0245 $\pm$ 0.0304,0.3566 $\pm$ 0.1141,1.0830 $\pm$ 0.3726,0.2367 $\pm$ 0.0802,1.4973 $\pm$ 0.3859
ETTm2,Chronos-2,96,6,OT,univariate target-only,0.047020052028077554,0.04216658747320229,0.1647656773517762,0.09351927791647019,0.09644953214093628,0.05368510436081895,0.04126524590011912,0.07101350040736978,0.44617820109336453,0.19355280026160335,0.8802433286034751,0.4123557742002929,0.34969829326931956,0.2373502588980013,1.262258210595211,0.7354823018515041,0.0470 $\pm$ 0.0422,0.1648 $\pm$ 0.0935,0.0964 $\pm$ 0.0537,0.0413 $\pm$ 0.0710,0.4462 $\pm$ 0.1936,0.8802 $\pm$ 0.4124,0.3497 $\pm$ 0.2374,1.2623 $\pm$ 0.7355
ETTm2,DLinear,96,6,OT,univariate target-only,0.10937803698243871,0.14797838970147756,0.25093415575117634,0.1564478557230042,0.1518187070301327,0.148697768529348,0.044859178802771814,0.05397994889691948,3.9356556827950233,3.207858327477013,1.1263786795763437,0.7531648793930809,1.6849480297443993,0.8543472043955611,0.4359344568945141,0.4301992434889062,0.1094 $\pm$ 0.1480,0.2509 $\pm$ 0.1564,0.1518 $\pm$ 0.1487,0.0449 $\pm$ 0.0540,3.9357 $\pm$ 3.2079,1.1264 $\pm$ 0.7532,1.6849 $\pm$ 0.8543,0.4359 $\pm$ 0.4302
ETTm2,PatchTST,96,6,OT,univariate target-only,0.11145557067236665,0.15941919140538965,0.2353955635182138,0.17428514464608574,0.15945825831153015,0.15689618349691398,0.020472455298992706,0.03092963966411357,1.4997753687089899,0.9596731314752592,0.4353871382892977,0.39323976449547815,0.7160666581432639,0.2436331181888111,0.42088625840749677,0.26387573746661863,0.1115 $\pm$ 0.1594,0.2354 $\pm$ 0.1743,0.1595 $\pm$ 0.1569,0.0205 $\pm$ 0.0309,1.4998 $\pm$ 0.9597,0.4354 $\pm$ 0.3932,0.7161 $\pm$ 0.2436,0.4209 $\pm$ 0.2639
ETTm2,TimeMixer,96,6,OT,univariate target-only,0.12259597432526888,0.1506825739340514,0.2604019730517095,0.1657622145536498,0.1678350677745065,0.15320630392106482,0.023701269759556862,0.03726028787141279,2.2114451591651805,1.2745094301814182,0.6740643024850735,0.5247436332509312,1.063947419722689,0.3678535162289071,0.2606708974172763,0.2051145168716791,0.1226 $\pm$ 0.1507,0.2604 $\pm$ 0.1658,0.1678 $\pm$ 0.1532,0.0237 $\pm$ 0.0373,2.2114 $\pm$ 1.2745,0.6741 $\pm$ 0.5247,1.0639 $\pm$ 0.3679,0.2607 $\pm$ 0.2051
ETTm2,TimesFM,96,6,OT,univariate target-only,0.08283612757861815,0.11223838943321747,0.20714120808305678,0.14472669908587615,0.128396879348458,0.13632742505104914,0.059342819551371474,0.07335208159557881,0.5326636340616682,0.20566706827012501,0.7347746292830385,0.5761861586818439,0.32469313085791834,0.16457975650050227,1.2463010749855752,0.5617432331871195,0.0828 $\pm$ 0.1122,0.2071 $\pm$ 0.1447,0.1284 $\pm$ 0.1363,0.0593 $\pm$ 0.0734,0.5327 $\pm$ 0.2057,0.7348 $\pm$ 0.5762,0.3247 $\pm$ 0.1646,1.2463 $\pm$ 0.5617
ETTm2,iTransformer,96,6,OT,univariate target-only,0.16885933654128996,0.13692699173455536,0.33031219141853646,0.11887126975442505,0.2130875329330811,0.14280050844496436,0.03048772957013386,0.03146638697487256,1.9005235648990964,1.1333757871722017,0.6090932942836201,0.4245523687600518,0.9255305445751197,0.35939421899896995,0.31250403596685,0.24622920326628034,0.1689 $\pm$ 0.1369,0.3303 $\pm$ 0.1189,0.2131 $\pm$ 0.1428,0.0305 $\pm$ 0.0315,1.9005 $\pm$ 1.1334,0.6091 $\pm$ 0.4246,0.9255 $\pm$ 0.3594,0.3125 $\pm$ 0.2462
Weather,Chronos-2,96,6,OT,univariate target-only,0.00034984951485120475,0.00038490690639623776,0.014137561562683408,0.010466868538265792,0.0062878726921073115,0.005085637572701563,0.06347255918514925,0.054359869341307446,0.20591159667083417,0.12934714628944174,1.7321645825053826,0.5987234831631496,0.2134097473315094,0.20429381015645853,1.8265984056041848,0.7740263473781341,0.0003 $\pm$ 0.0004,0.0141 $\pm$ 0.0105,0.0063 $\pm$ 0.0051,0.0635 $\pm$ 0.0544,0.2059 $\pm$ 0.1293,1.7322 $\pm$ 0.5987,0.2134 $\pm$ 0.2043,1.8266 $\pm$ 0.7740
Weather,DLinear,96,6,OT,univariate target-only,0.0006150303699867694,0.000862593401139645,0.016602069581273235,0.012254716062586884,0.008320963455428642,0.006342637347174236,0.058489094705241,0.032902699130225324,2.6694653796522005,0.9415658750221287,0.9202456108392254,0.40156525202876076,1.5077772111801047,0.5442157187726225,0.4099926402902359,0.2985003831923961,0.0006 $\pm$ 0.0009,0.0166 $\pm$ 0.0123,0.0083 $\pm$ 0.0063,0.0585 $\pm$ 0.0329,2.6695 $\pm$ 0.9416,0.9202 $\pm$ 0.4016,1.5078 $\pm$ 0.5442,0.4100 $\pm$ 0.2985
Weather,PatchTST,96,6,OT,univariate target-only,0.00040867524915499535,0.0005806059502559701,0.012720745282950294,0.010085787649380349,0.004431152449219791,0.002446591794832071,0.044761076982726265,0.05464562519044674,0.6604197232395722,0.26627078664982406,0.5011598715015175,0.4872782213382035,0.4424013151711776,0.22001150711743092,0.9383469273241927,0.5720617468108585,0.0004 $\pm$ 0.0006,0.0127 $\pm$ 0.0101,0.0044 $\pm$ 0.0024,0.0448 $\pm$ 0.0546,0.6604 $\pm$ 0.2663,0.5012 $\pm$ 0.4873,0.4424 $\pm$ 0.2200,0.9383 $\pm$ 0.5721
Weather,TimeMixer,96,6,OT,univariate target-only,0.0004554938963704665,0.00037138277014016585,0.016989507571357046,0.007036703808363847,0.007952437258344427,0.004370637259167046,0.059134672941661255,0.08066367450461862,2.169429136332397,0.8013606285390866,0.7093248742044306,0.40895398471714123,1.2577368977811751,0.48625980275944314,0.34628526686510375,0.20777475557948685,0.0005 $\pm$ 0.0004,0.0170 $\pm$ 0.0070,0.0080 $\pm$ 0.0044,0.0591 $\pm$ 0.0807,2.1694 $\pm$ 0.8014,0.7093 $\pm$ 0.4090,1.2577 $\pm$ 0.4863,0.3463 $\pm$ 0.2078
Weather,TimesFM,96,6,OT,univariate target-only,0.00045581142169885095,0.0005516733247054999,0.015050003250419448,0.011529104161877744,0.010106901530978818,0.009567737779428449,0.034116211119733814,0.025755414497567068,0.1604805717892931,0.08865189861079334,1.9474672956797818,0.5191215010623346,0.13412007542284068,0.07711740372568106,2.1122574117350883,0.4631114607668956,0.0005 $\pm$ 0.0006,0.0151 $\pm$ 0.0115,0.0101 $\pm$ 0.0096,0.0341 $\pm$ 0.0258,0.1605 $\pm$ 0.0887,1.9475 $\pm$ 0.5191,0.1341 $\pm$ 0.0771,2.1123 $\pm$ 0.4631
Weather,iTransformer,96,6,OT,univariate target-only,0.0006870777703963136,0.0007641320219637326,0.020315558799809917,0.010264056143632124,0.017226882950443674,0.008974265460680636,0.012664900969209454,0.02290618900466318,1.1769830322300607,0.7811426980332902,0.5388872642489723,0.40313830897821906,0.6813594309429476,0.37832862044954246,0.6155840091510522,0.5287872885313547,0.0007 $\pm$ 0.0008,0.0203 $\pm$ 0.0103,0.0172 $\pm$ 0.0090,0.0127 $\pm$ 0.0229,1.1770 $\pm$ 0.7811,0.5389 $\pm$ 0.4031,0.6814 $\pm$ 0.3783,0.6156 $\pm$ 0.5288
