dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std,total_variation_ratio_mean_pm_std,total_variation_ratio_error_mean_pm_std,high_frequency_energy_ratio_mean_pm_std,high_frequency_energy_ratio_error_mean_pm_std
ESNet,Chronos-2,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,0.0012196389397888176,0.0001890935402167961,6.717759711200974,0.16292733113573496,0.0006915931539546111,0.00015985437652052845,7.296301328700177,0.24996969306212063,1.4789 $\pm$ 0.1468,0.2066 $\pm$ 0.0182,0.1751 $\pm$ 0.0438,0.0151 $\pm$ 0.0251,0.0012 $\pm$ 0.0002,6.7178 $\pm$ 0.1629,0.0007 $\pm$ 0.0002,7.2963 $\pm$ 0.2500
ESNet,DLinear,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,0.002774958441813153,0.0010035314811238664,5.940880648445624,0.4215164265345088,0.0007214590106707372,0.00022067528574865183,7.270888795362342,0.3444462158884076,1.4777 $\pm$ 0.1460,0.2040 $\pm$ 0.0170,0.1524 $\pm$ 0.0145,0.0025 $\pm$ 0.0004,0.0028 $\pm$ 0.0010,5.9409 $\pm$ 0.4215,0.0007 $\pm$ 0.0002,7.2709 $\pm$ 0.3444
ESNet,PatchTST,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,0.038693699302389896,0.017685467775002135,3.3353139914474834,0.5218037717165895,0.009883596579612354,0.0037189211030708835,4.6711684090888825,0.4174609078851236,1.4794 $\pm$ 0.1433,0.2144 $\pm$ 0.0153,0.1891 $\pm$ 0.0075,0.0003 $\pm$ 0.0003,0.0387 $\pm$ 0.0177,3.3353 $\pm$ 0.5218,0.0099 $\pm$ 0.0037,4.6712 $\pm$ 0.4175
ESNet,TimeMixer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05,0.030839562753023814,0.013445397621623507,3.5550186588821635,0.49912668702256685,0.00796062280384408,0.003155428691919272,4.89189289878939,0.43131686718185797,1.4672 $\pm$ 0.1509,0.2314 $\pm$ 0.0055,0.2195 $\pm$ 0.0062,0.0001 $\pm$ 0.0000,0.0308 $\pm$ 0.0134,3.5550 $\pm$ 0.4991,0.0080 $\pm$ 0.0032,4.8919 $\pm$ 0.4313
ESNet,iTransformer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4574577363777912,0.16175397718462156,0.27883276342015423,0.045506305114470805,0.2720182141926769,0.04897166795471164,5.9760722514916206e-05,9.593984435865663e-05,0.03186028644869173,0.015549650962808902,3.551324749716682,0.59869826680671,0.008206986520545483,0.003574789192410219,4.883957714994595,0.5229105912933676,1.4575 $\pm$ 0.1618,0.2788 $\pm$ 0.0455,0.2720 $\pm$ 0.0490,0.0001 $\pm$ 0.0001,0.0319 $\pm$ 0.0155,3.5513 $\pm$ 0.5987,0.0082 $\pm$ 0.0036,4.8840 $\pm$ 0.5229
ETTh1,Chronos-2,96,6,OT,univariate target-only,0.10325612673430695,0.06879701832218192,0.25892519800820285,0.11582744246717365,0.21100644388045764,0.13649384046120533,0.016047595402225827,0.020738672853319682,0.28312679377177774,0.09815945901640774,1.3291698702104093,0.4327965503308653,0.37730924108793573,0.11891802251864174,1.0285704304306784,0.3838267546766549,0.1033 $\pm$ 0.0688,0.2589 $\pm$ 0.1158,0.2110 $\pm$ 0.1365,0.0160 $\pm$ 0.0207,0.2831 $\pm$ 0.0982,1.3292 $\pm$ 0.4328,0.3773 $\pm$ 0.1189,1.0286 $\pm$ 0.3838
ETTh1,DLinear,96,6,OT,univariate target-only,0.13471051041867008,0.0994590530799694,0.2998832002841845,0.14067514710765397,0.2275586727182999,0.17118284243427256,0.012704180265255521,0.017242559210963907,0.8220822698350047,0.13945944446031935,0.21734716401810486,0.14994203878248208,0.6248147403359788,0.11392650356236031,0.4860810594263742,0.20105482986019937,0.1347 $\pm$ 0.0995,0.2999 $\pm$ 0.1407,0.2276 $\pm$ 0.1712,0.0127 $\pm$ 0.0172,0.8221 $\pm$ 0.1395,0.2173 $\pm$ 0.1499,0.6248 $\pm$ 0.1139,0.4861 $\pm$ 0.2011
ETTh1,PatchTST,96,6,OT,univariate target-only,0.12129704179260829,0.06096731436560476,0.28935959742833406,0.09976629243707177,0.21842326147771654,0.1237522251549495,0.007885429170182326,0.010095110542217487,0.5218517063033032,0.08733206859359781,0.6614006183451601,0.1606340910470441,0.4965443920597901,0.10683773469513085,0.7198468604977332,0.21894420845506934,0.1213 $\pm$ 0.0610,0.2894 $\pm$ 0.0998,0.2184 $\pm$ 0.1238,0.0079 $\pm$ 0.0101,0.5219 $\pm$ 0.0873,0.6614 $\pm$ 0.1606,0.4965 $\pm$ 0.1068,0.7198 $\pm$ 0.2189
ETTh1,TimeMixer,96,6,OT,univariate target-only,0.13807791593921448,0.10261111195098503,0.3054168931487215,0.13807282310748223,0.2382425015112227,0.16892220259612764,0.013692995488128882,0.02120069884538753,0.49243785471905227,0.08870102641009833,0.7216105638743366,0.17748279556415283,0.4371812650296052,0.13449455983128114,0.8671793417579772,0.3105637312664808,0.1381 $\pm$ 0.1026,0.3054 $\pm$ 0.1381,0.2382 $\pm$ 0.1689,0.0137 $\pm$ 0.0212,0.4924 $\pm$ 0.0887,0.7216 $\pm$ 0.1775,0.4372 $\pm$ 0.1345,0.8672 $\pm$ 0.3106
ETTh1,TimesFM,96,6,OT,univariate target-only,0.10078584832486255,0.07342609583430111,0.2515249738159279,0.1232193408871031,0.17388209535854462,0.14181062191025756,0.025145543498491713,0.03805327839435321,0.28144272967636563,0.12319289315806133,1.3942861091900625,0.6258771167019581,0.384019751419489,0.1940742549759949,1.1566837629984887,0.8257392667715102,0.1008 $\pm$ 0.0734,0.2515 $\pm$ 0.1232,0.1739 $\pm$ 0.1418,0.0251 $\pm$ 0.0381,0.2814 $\pm$ 0.1232,1.3943 $\pm$ 0.6259,0.3840 $\pm$ 0.1941,1.1567 $\pm$ 0.8257
