dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std
ESNet,Chronos-2,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,0.0012196389397888176,0.0001890935402167961,6.717759711200974,0.16292733113573496,0.0006915931539546111,0.00015985437652052845,7.296301328700177,0.24996969306212063
ESNet,DLinear,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,0.002774958441813153,0.0010035314811238664,5.940880648445624,0.4215164265345088,0.0007214590106707372,0.00022067528574865183,7.270888795362342,0.3444462158884076
ESNet,PatchTST,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,0.038693699302389896,0.017685467775002135,3.3353139914474834,0.5218037717165895,0.009883596579612354,0.0037189211030708835,4.6711684090888825,0.4174609078851236
ESNet,TimeMixer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05,0.030839562753023814,0.013445397621623507,3.5550186588821635,0.49912668702256685,0.00796062280384408,0.003155428691919272,4.89189289878939,0.43131686718185797
ESNet,iTransformer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4574577363777912,0.16175397718462156,0.27883276342015423,0.045506305114470805,0.2720182141926769,0.04897166795471164,5.9760722514916206e-05,9.593984435865663e-05,0.03186028644869173,0.015549650962808902,3.551324749716682,0.59869826680671,0.008206986520545483,0.003574789192410219,4.883957714994595,0.5229105912933676
ETTh1,Chronos-2,96,6,OT,univariate target-only,0.10325612673430695,0.06879701832218192,0.25892519800820285,0.11582744246717365,0.21100644388045764,0.13649384046120533,0.016047595402225827,0.020738672853319682,0.28312679377177774,0.09815945901640774,1.3291698702104093,0.4327965503308653,0.37730924108793573,0.11891802251864174,1.0285704304306784,0.3838267546766549
ETTh1,DLinear,96,6,OT,univariate target-only,0.13471051041867008,0.0994590530799694,0.2998832002841845,0.14067514710765397,0.2275586727182999,0.17118284243427256,0.012704180265255521,0.017242559210963907,0.8220822698350047,0.13945944446031935,0.21734716401810486,0.14994203878248208,0.6248147403359788,0.11392650356236031,0.4860810594263742,0.20105482986019937
ETTh1,PatchTST,96,6,OT,univariate target-only,0.12129704179260829,0.06096731436560476,0.28935959742833406,0.09976629243707177,0.21842326147771654,0.1237522251549495,0.007885429170182326,0.010095110542217487,0.5218517063033032,0.08733206859359781,0.6614006183451601,0.1606340910470441,0.4965443920597901,0.10683773469513085,0.7198468604977332,0.21894420845506934
ETTh1,TimeMixer,96,6,OT,univariate target-only,0.13807791593921448,0.10261111195098503,0.3054168931487215,0.13807282310748223,0.2382425015112227,0.16892220259612764,0.013692995488128882,0.02120069884538753,0.49243785471905227,0.08870102641009833,0.7216105638743366,0.17748279556415283,0.4371812650296052,0.13449455983128114,0.8671793417579772,0.3105637312664808
ETTh1,TimesFM,96,6,OT,univariate target-only,0.10078584832486255,0.07342609583430111,0.2515249738159279,0.1232193408871031,0.17388209535854462,0.14181062191025756,0.025145543498491713,0.03805327839435321,0.28144272967636563,0.12319289315806133,1.3942861091900625,0.6258771167019581,0.384019751419489,0.1940742549759949,1.1566837629984887,0.8257392667715102
ETTh1,iTransformer,96,6,OT,univariate target-only,0.09795476979784445,0.0751214535950458,0.2533756746876688,0.11857792235963634,0.2011031790244735,0.13407055877575472,0.013892802271750103,0.021647964920717713,0.4145746548065014,0.04572930175606104,0.8855078232876589,0.10924217901876355,0.37178062099677395,0.07190288580643547,1.0043185843863833,0.1866770828619262
ETTm1,Chronos-2,96,6,OT,univariate target-only,0.08016495912771716,0.08107222665501784,0.2073387952728404,0.12966280639781297,0.17202290019591282,0.1490207868513285,0.035385533459407335,0.046219695388625956,0.11213641577703803,0.10202934615487719,2.506363111135675,0.847938468941556,0.11498228116510446,0.12130340968242201,2.6002685994611663,1.0101796550193742
ETTm1,DLinear,96,6,OT,univariate target-only,0.08514308392688834,0.10829382368715175,0.20596811227773726,0.15614190593694066,0.1431899340026283,0.17998488973570903,0.05916264467764196,0.05665492654213237,0.9664225301754547,0.2183718965692459,0.17463789542277966,0.17020827357411838,0.5741618803444858,0.169142166780335,0.599145342715449,0.34433743647074416
ETTm1,PatchTST,96,6,OT,univariate target-only,0.08091034717199165,0.0834905061931784,0.20345902202469915,0.13141440722320155,0.1398893035931748,0.12443068903835879,0.046632364504635176,0.05425186241602625,0.35085563666404757,0.07596942477323712,1.0692638228462135,0.23643917933331998,0.22970272774055656,0.060265773438558864,1.5044381342854478,0.2953930890510269
ETTm1,TimeMixer,96,6,OT,univariate target-only,0.07625419528755212,0.087480544298933,0.19367999769785427,0.143936921730068,0.14708126481133169,0.16232471730324377,0.03508635654058254,0.05262338336721644,0.5876178696877323,0.2583407866757511,0.6233956296734113,0.4134292150031631,0.356144684503709,0.14752405363564783,1.1028522247862746,0.4117002040242253
ETTm1,TimesFM,96,6,OT,univariate target-only,0.07578390937024233,0.06495790505639165,0.20720017111549774,0.10934495615928351,0.17409130592851596,0.13060751940042747,0.03277148864431178,0.05735843892276889,0.09612165468086438,0.049449810000573205,2.461236754873317,0.546107603735315,0.08882294105897139,0.06706846639393978,2.6460092455511615,0.7287191374858415
ETTm1,iTransformer,96,6,OT,univariate target-only,0.07881439727057309,0.07646094031101798,0.2063949560075555,0.12952003681097848,0.16173177899069685,0.15294049318233388,0.02449619403003581,0.0303702205693767,0.3565692485642343,0.11406014699903506,1.082962669944352,0.37255138524898496,0.23668319735052631,0.08017948543503312,1.4973025746216475,0.38589706047941713
ETTm2,Chronos-2,96,6,OT,univariate target-only,0.047020052028077554,0.04216658747320229,0.1647656773517762,0.09351927791647019,0.09644953214093628,0.05368510436081895,0.04126524590011912,0.07101350040736978,0.44617820109336453,0.19355280026160335,0.8802433286034751,0.4123557742002929,0.34969829326931956,0.2373502588980013,1.262258210595211,0.7354823018515041
ETTm2,DLinear,96,6,OT,univariate target-only,0.10937803698243871,0.14797838970147756,0.25093415575117634,0.1564478557230042,0.1518187070301327,0.148697768529348,0.044859178802771814,0.05397994889691948,3.9356556827950233,3.207858327477013,1.1263786795763437,0.7531648793930809,1.6849480297443993,0.8543472043955611,0.4359344568945141,0.4301992434889062
ETTm2,PatchTST,96,6,OT,univariate target-only,0.11145557067236665,0.15941919140538965,0.2353955635182138,0.17428514464608574,0.15945825831153015,0.15689618349691398,0.020472455298992706,0.03092963966411357,1.4997753687089899,0.9596731314752592,0.4353871382892977,0.39323976449547815,0.7160666581432639,0.2436331181888111,0.42088625840749677,0.26387573746661863
ETTm2,TimeMixer,96,6,OT,univariate target-only,0.12259597432526888,0.1506825739340514,0.2604019730517095,0.1657622145536498,0.1678350677745065,0.15320630392106482,0.023701269759556862,0.03726028787141279,2.2114451591651805,1.2745094301814182,0.6740643024850735,0.5247436332509312,1.063947419722689,0.3678535162289071,0.2606708974172763,0.2051145168716791
