dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,protocol,fig_path
ETTh1,Chronos-2,720,11520,0.23304852640066054,0.3734497673809528,0.2664060011966941,0.004302522829960545,fastdtw_rolling_origin_scaled,results/h720_fastdtw_uncertainty/ETTh1_Chronos-2_h720_origin11520.png
ETTh1,DLinear,720,11520,0.07426154408904934,0.22596233968130439,0.09103748116135409,0.030914124620736557,fastdtw_rolling_origin_scaled,results/h720_fastdtw_uncertainty/ETTh1_DLinear_h720_origin11520.png
ETTh1,PatchTST,720,11520,0.11648434268821618,0.2765771304957744,0.08494441777064932,0.028482300295635993,fastdtw_rolling_origin_scaled,results/h720_fastdtw_uncertainty/ETTh1_PatchTST_h720_origin11520.png
ETTh1,TimeMixer,720,11520,0.09583677096772894,0.25698209718513476,0.08584058425890315,0.017453997881916865,fastdtw_rolling_origin_scaled,results/h720_fastdtw_uncertainty/ETTh1_TimeMixer_h720_origin11520.png
ETTh1,iTransformer,720,11520,0.14216383623275888,0.29308812841607707,0.14927387155441366,0.006025765163476087,fastdtw_rolling_origin_scaled,results/h720_fastdtw_uncertainty/ETTh1_iTransformer_h720_origin11520.png
ETTh1,Chronos-2,720,12240,0.11354946238579992,0.28932316170798406,0.16730279613010438,0.009958084206902935,fastdtw_rolling_origin_scaled,
ETTh1,DLinear,720,12240,0.03870340343166535,0.15609965746667676,0.060583583919509486,0.02382534514659835,fastdtw_rolling_origin_scaled,
ETTh1,PatchTST,720,12240,0.0677193880562795,0.20649576285964386,0.05691198489451418,0.013216665151131774,fastdtw_rolling_origin_scaled,
ETTh1,TimeMixer,720,12240,0.05035233947992804,0.1847068471072327,0.06751013004084097,0.02659714868717713,fastdtw_rolling_origin_scaled,
ETTh1,iTransformer,720,12240,0.0341918370701051,0.14626028023503276,0.06937282273875907,0.005628546622174822,fastdtw_rolling_origin_scaled,
ETTh1,Chronos-2,720,12960,0.07614559136125425,0.19894748462571038,0.08314859946701483,0.03147875864352109,fastdtw_rolling_origin_scaled,
ETTh1,DLinear,720,12960,0.06600098912970725,0.19291863900291442,0.07784548606530557,0.0454370091251792,fastdtw_rolling_origin_scaled,
