dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std,total_variation_ratio_mean_pm_std,total_variation_ratio_error_mean_pm_std,high_frequency_energy_ratio_mean_pm_std,high_frequency_energy_ratio_error_mean_pm_std
ESNet,Chronos-2,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,0.0012196389397888176,0.0001890935402167961,6.717759711200974,0.16292733113573496,0.0006915931539546111,0.00015985437652052845,7.296301328700177,0.24996969306212063,1.4789 $\pm$ 0.1468,0.2066 $\pm$ 0.0182,0.1751 $\pm$ 0.0438,0.0151 $\pm$ 0.0251,0.0012 $\pm$ 0.0002,6.7178 $\pm$ 0.1629,0.0007 $\pm$ 0.0002,7.2963 $\pm$ 0.2500
ESNet,DLinear,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,0.002774958441813153,0.0010035314811238664,5.940880648445624,0.4215164265345088,0.0007214590106707372,0.00022067528574865183,7.270888795362342,0.3444462158884076,1.4777 $\pm$ 0.1460,0.2040 $\pm$ 0.0170,0.1524 $\pm$ 0.0145,0.0025 $\pm$ 0.0004,0.0028 $\pm$ 0.0010,5.9409 $\pm$ 0.4215,0.0007 $\pm$ 0.0002,7.2709 $\pm$ 0.3444
ESNet,PatchTST,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,0.038693699302389896,0.017685467775002135,3.3353139914474834,0.5218037717165895,0.009883596579612354,0.0037189211030708835,4.6711684090888825,0.4174609078851236,1.4794 $\pm$ 0.1433,0.2144 $\pm$ 0.0153,0.1891 $\pm$ 0.0075,0.0003 $\pm$ 0.0003,0.0387 $\pm$ 0.0177,3.3353 $\pm$ 0.5218,0.0099 $\pm$ 0.0037,4.6712 $\pm$ 0.4175
ESNet,TimeMixer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05,0.030839562753023814,0.013445397621623507,3.5550186588821635,0.49912668702256685,0.00796062280384408,0.003155428691919272,4.89189289878939,0.43131686718185797,1.4672 $\pm$ 0.1509,0.2314 $\pm$ 0.0055,0.2195 $\pm$ 0.0062,0.0001 $\pm$ 0.0000,0.0308 $\pm$ 0.0134,3.5550 $\pm$ 0.4991,0.0080 $\pm$ 0.0032,4.8919 $\pm$ 0.4313
ESNet,iTransformer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4574577363777912,0.16175397718462156,0.27883276342015423,0.045506305114470805,0.2720182141926769,0.04897166795471164,5.9760722514916206e-05,9.593984435865663e-05,0.03186028644869173,0.015549650962808902,3.551324749716682,0.59869826680671,0.008206986520545483,0.003574789192410219,4.883957714994595,0.5229105912933676,1.4575 $\pm$ 0.1618,0.2788 $\pm$ 0.0455,0.2720 $\pm$ 0.0490,0.0001 $\pm$ 0.0001,0.0319 $\pm$ 0.0155,3.5513 $\pm$ 0.5987,0.0082 $\pm$ 0.0036,4.8840 $\pm$ 0.5229
ETTh1,Chronos-2,336,6,OT,univariate target-only,0.06027564925368545,0.04316358120131809,0.1822933956448521,0.06442789651809268,0.09348592635152896,0.03295529863789859,0.029600583100407644,0.02138780803198201,0.3014473243802504,0.17937778007947466,1.3998798966134658,0.7849984870915189,0.476718947158072,0.30698461109924163,1.0405289723328535,1.0255690359593252,0.0603 $\pm$ 0.0432,0.1823 $\pm$ 0.0644,0.0935 $\pm$ 0.0330,0.0296 $\pm$ 0.0214,0.3014 $\pm$ 0.1794,1.3999 $\pm$ 0.7850,0.4767 $\pm$ 0.3070,1.0405 $\pm$ 1.0256
ETTh1,DLinear,336,6,OT,univariate target-only,0.0704331757844614,0.02636236323778619,0.2136748732441606,0.0479994746813442,0.09635825278438459,0.03202941064670286,0.0518023965124983,0.051788709687926024,0.8271741716056537,0.15078542103689577,0.20392451724728197,0.18549650520052335,0.6289594735124594,0.17000806630770493,0.49123213699925955,0.2516198668701353,0.0704 $\pm$ 0.0264,0.2137 $\pm$ 0.0480,0.0964 $\pm$ 0.0320,0.0518 $\pm$ 0.0518,0.8272 $\pm$ 0.1508,0.2039 $\pm$ 0.1855,0.6290 $\pm$ 0.1700,0.4912 $\pm$ 0.2516
ETTh1,PatchTST,336,6,OT,univariate target-only,0.09356807864192807,0.04539678642828461,0.2340249794036994,0.06442854580331,0.09768425732342396,0.05027923079726803,0.030617111196091076,0.035074590173629766,0.563309977127512,0.09080835908236783,0.5857704599375384,0.17273048274092592,0.5921705859348836,0.20587365980975553,0.5720863988404722,0.337295670421879,0.0936 $\pm$ 0.0454,0.2340 $\pm$ 0.0644,0.0977 $\pm$ 0.0503,0.0306 $\pm$ 0.0351,0.5633 $\pm$ 0.0908,0.5858 $\pm$ 0.1727,0.5922 $\pm$ 0.2059,0.5721 $\pm$ 0.3373
ETTh1,TimeMixer,336,6,OT,univariate target-only,0.08170923979292562,0.03227433327120249,0.23115511734682878,0.058408464916304206,0.11070305001740412,0.038872317806091725,0.020753090773361817,0.014260309238202713,0.6798267779315261,0.06021839193588853,0.38930630056201315,0.09104535836573316,0.6344300968004661,0.17055989692415638,0.4855415558143361,0.2711240061451274,0.0817 $\pm$ 0.0323,0.2312 $\pm$ 0.0584,0.1107 $\pm$ 0.0389,0.0208 $\pm$ 0.0143,0.6798 $\pm$ 0.0602,0.3893 $\pm$ 0.0910,0.6344 $\pm$ 0.1706,0.4855 $\pm$ 0.2711
ETTh1,TimesFM,336,6,OT,univariate target-only,0.06425393470584821,0.038074113653956014,0.18862771943566345,0.05814977880350148,0.08943145631294767,0.04018733542751921,0.022415128969677355,0.015217891865881841,0.276631255935679,0.19509669972576682,1.6074844218894286,1.0081399707215797,0.45784362738622914,0.3271238259081192,1.149430285325434,1.1211137923002419,0.0643 $\pm$ 0.0381,0.1886 $\pm$ 0.0581,0.0894 $\pm$ 0.0402,0.0224 $\pm$ 0.0152,0.2766 $\pm$ 0.1951,1.6075 $\pm$ 1.0081,0.4578 $\pm$ 0.3271,1.1494 $\pm$ 1.1211
