dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std
ESNet,Chronos-2,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,0.0012196389397888176,0.0001890935402167961,6.717759711200974,0.16292733113573496,0.0006915931539546111,0.00015985437652052845,7.296301328700177,0.24996969306212063
ESNet,DLinear,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,0.002774958441813153,0.0010035314811238664,5.940880648445624,0.4215164265345088,0.0007214590106707372,0.00022067528574865183,7.270888795362342,0.3444462158884076
ESNet,PatchTST,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,0.038693699302389896,0.017685467775002135,3.3353139914474834,0.5218037717165895,0.009883596579612354,0.0037189211030708835,4.6711684090888825,0.4174609078851236
ESNet,TimeMixer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05,0.030839562753023814,0.013445397621623507,3.5550186588821635,0.49912668702256685,0.00796062280384408,0.003155428691919272,4.89189289878939,0.43131686718185797
ESNet,iTransformer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4574577363777912,0.16175397718462156,0.27883276342015423,0.045506305114470805,0.2720182141926769,0.04897166795471164,5.9760722514916206e-05,9.593984435865663e-05,0.03186028644869173,0.015549650962808902,3.551324749716682,0.59869826680671,0.008206986520545483,0.003574789192410219,4.883957714994595,0.5229105912933676
ETTh1,Chronos-2,336,6,OT,univariate target-only,0.06027564925368545,0.04316358120131809,0.1822933956448521,0.06442789651809268,0.09348592635152896,0.03295529863789859,0.029600583100407644,0.02138780803198201,0.3014473243802504,0.17937778007947466,1.3998798966134658,0.7849984870915189,0.476718947158072,0.30698461109924163,1.0405289723328535,1.0255690359593252
ETTh1,DLinear,336,6,OT,univariate target-only,0.0704331757844614,0.02636236323778619,0.2136748732441606,0.0479994746813442,0.09635825278438459,0.03202941064670286,0.0518023965124983,0.051788709687926024,0.8271741716056537,0.15078542103689577,0.20392451724728197,0.18549650520052335,0.6289594735124594,0.17000806630770493,0.49123213699925955,0.2516198668701353
ETTh1,PatchTST,336,6,OT,univariate target-only,0.09356807864192807,0.04539678642828461,0.2340249794036994,0.06442854580331,0.09768425732342396,0.05027923079726803,0.030617111196091076,0.035074590173629766,0.563309977127512,0.09080835908236783,0.5857704599375384,0.17273048274092592,0.5921705859348836,0.20587365980975553,0.5720863988404722,0.337295670421879
ETTh1,TimeMixer,336,6,OT,univariate target-only,0.08170923979292562,0.03227433327120249,0.23115511734682878,0.058408464916304206,0.11070305001740412,0.038872317806091725,0.020753090773361817,0.014260309238202713,0.6798267779315261,0.06021839193588853,0.38930630056201315,0.09104535836573316,0.6344300968004661,0.17055989692415638,0.4855415558143361,0.2711240061451274
ETTh1,TimesFM,336,6,OT,univariate target-only,0.06425393470584821,0.038074113653956014,0.18862771943566345,0.05814977880350148,0.08943145631294767,0.04018733542751921,0.022415128969677355,0.015217891865881841,0.276631255935679,0.19509669972576682,1.6074844218894286,1.0081399707215797,0.45784362738622914,0.3271238259081192,1.149430285325434,1.1211137923002419
ETTh1,iTransformer,336,6,OT,univariate target-only,0.07343545739064297,0.018660559815790293,0.22029961984653376,0.031876855763855,0.1014584323687548,0.03328338524137267,0.03589858158512892,0.021834241506348488,0.407030628857378,0.07215708366666466,0.911466677101839,0.17248999129462025,0.45867840182601244,0.17157903662511612,0.8536169611775187,0.44755306043967946
ETTm1,Chronos-2,336,6,OT,univariate target-only,0.15642836624666764,0.15684568724882023,0.30706575561669613,0.19661182322052204,0.22778740727148195,0.21730896063665428,0.03162534467019162,0.0416977811134286,0.11989881349933616,0.047138107418898026,2.1956979074062497,0.44211509520168935,0.21059403037328503,0.14164245633813433,1.8577310391710358,0.9642006320607077
ETTm1,DLinear,336,6,OT,univariate target-only,0.16406591711506274,0.16238385572383532,0.3152063367631126,0.20505735940765776,0.2518858223665635,0.22592746246528025,0.01044441533390531,0.01569506476932434,1.1280537917050664,0.2532408557922739,0.20072049540476744,0.12222546332895226,0.5015698193346444,0.1329689675276949,0.7261881128664102,0.31108652116679447
ETTm1,PatchTST,336,6,OT,univariate target-only,0.16000547319025785,0.1463913979356269,0.32025519740238123,0.18223483050452255,0.25156537300656545,0.1960493635573464,0.00948961018592879,0.010498703090108618,0.46602459186419704,0.048261519471827996,0.7679388906973977,0.1027517120143383,0.3348788752057203,0.09837343821661583,1.1326527403148494,0.31153448435590875
ETTm1,TimeMixer,336,6,OT,univariate target-only,0.19067571680999415,0.16831243197443604,0.35079984325312413,0.19665119657181207,0.28222136139871096,0.22882469090423163,0.007610345636860455,0.010073642382484788,0.5596771514609591,0.13110703039045854,0.6014532592244074,0.2208242017447437,0.3520316689495868,0.10618409911051228,1.087451757072684,0.3335769161017496
ETTm1,TimesFM,336,6,OT,univariate target-only,0.16328232125203712,0.13703001172381685,0.32549844379167236,0.18170311216310697,0.21229933265601755,0.13041858858089084,0.05055646812417023,0.0545833929600543,0.08499072109889098,0.020184811940417727,2.486304910951452,0.21920161703775684,0.1744020911535271,0.07070677791154265,1.7997448104886633,0.3359932250409822
ETTm1,iTransformer,336,6,OT,univariate target-only,0.17033327511022558,0.1524661780158654,0.32868261743937566,0.1911362499868423,0.2600020245589795,0.2181146957037206,0.010960635944709703,0.014932439994855298,0.34769347148622204,0.07923559246972882,1.0818956050364903,0.2578927833057849,0.27349032615305546,0.10784052253947392,1.368110529348239,0.42456294275160666
ETTm2,Chronos-2,336,6,OT,univariate target-only,0.24379408414513518,0.2163844712133171,0.3755282859195191,0.2235205453665263,0.2987473670212997,0.2559623496122601,0.0020747201411092683,0.0028146281488706645,0.4967697150369104,0.26315847615246035,0.8499197793406248,0.6532369073661064,0.4253874746560273,0.2954330686420339,1.1311051250847075,0.8935358022031937
ETTm2,DLinear,336,6,OT,univariate target-only,0.25758655498602917,0.21641007945013915,0.40052272308375464,0.22156699586516568,0.2549734324997523,0.20063294739634296,0.008125157640799205,0.009825447593123085,4.377622006780162,2.5336018373530242,1.3075682721369437,0.6660388388208707,1.140024021604373,0.5000053772873057,0.40288199401581126,0.11618157599456586
ETTm2,PatchTST,336,6,OT,univariate target-only,0.23693566743818162,0.19458860326894095,0.38511149281677715,0.20154051427159006,0.22815911540461112,0.17890156045998393,0.015747219133526624,0.015558566460864832,1.9470086510720919,0.8222277054189182,0.590504544305743,0.4291735538785817,1.0820816549909469,0.43235963423070095,0.31297588875359605,0.1735803365442222
ETTm2,TimeMixer,336,6,OT,univariate target-only,0.2918485962725566,0.2344482285339156,0.43156539430869983,0.20710879573336055,0.27596303390230176,0.21158858701923416,0.015116106555625472,0.01877911343440981,2.3095333183694855,1.0254016901009706,0.7471221178277078,0.4720820432728134,1.0155540146765947,0.485979171863214,0.396282821489302,0.2331943587877478
