dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,main_seq_len
ETTh1,Chronos-2,336,11520,0.06255461029955656,0.19317950343801862,0.10254187252547337,0.03351049072607382,0.27335582557718535,1.2969809054981025,0.3821828270908489,0.9618561537550271,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h336_w6_timesfm_variation_diagnostics/ETTh1_Chronos-2_h336_origin11520.png,main,336
ETTh1,TimesFM,336,11520,0.06269918847402096,0.1869555213266895,0.1005170215485674,0.0030364161921081563,0.298625381018693,1.2085653639399743,0.40359015408285315,0.9073553612583861,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h336_w6_timesfm_variation_diagnostics/ETTh1_TimesFM_h336_origin11520.png,main,336
ETTh1,DLinear,336,11520,0.07220073556363292,0.21886293813758304,0.08393189065568399,0.15018223775017253,0.9345009449377762,0.06774263021676202,0.5314554087632614,0.6321359628681288,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h336_w6_timesfm_variation_diagnostics/ETTh1_DLinear_h336_origin11520.png,main,336
ETTh1,PatchTST,336,11520,0.06834355428464758,0.2169186773570819,0.08170798723171618,0.021905148778261305,0.583116048797018,0.5393690407507865,0.4625905243023038,0.7709129913433388,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h336_w6_timesfm_variation_diagnostics/ETTh1_PatchTST_h336_origin11520.png,main,336
ETTh1,TimeMixer,336,11520,0.08091957373321483,0.2307462697433499,0.09520385644179086,0.025908118407913627,0.6863015042955264,0.3764382226070267,0.5162955413906383,0.6610759034601345,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h336_w6_timesfm_variation_diagnostics/ETTh1_TimeMixer_h336_origin11520.png,main,336
ETTh1,iTransformer,336,11520,0.07439403599092803,0.2170179941225825,0.08139076641768987,0.02336889744429882,0.5290114750523202,0.6367451364855641,0.5384064378013902,0.6191415248663634,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h336_w6_timesfm_variation_diagnostics/ETTh1_iTransformer_h336_origin11520.png,main,336
ETTh1,Chronos-2,336,11856,0.13557432454198817,0.27372772920699345,0.14888574274686667,0.01536799014477586,0.6102177733475797,0.4939393636506486,0.9574869645952976,0.04344316157569013,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimesFM,336,11856,0.12347104969826928,0.251960119143838,0.16428776275473858,0.007529363125565727,0.5843135355708453,0.5373175471286817,0.9563219100582332,0.04466068615114684,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,DLinear,336,11856,0.08929756207344733,0.23154161937424514,0.09739122668149382,0.03361375976612449,0.9693233476512927,0.031157020331127223,0.9425849330727991,0.059129238444830444,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,PatchTST,336,11856,0.11135367875116538,0.23534405884656273,0.10997145649515307,0.02019016894289522,0.6816439759003564,0.3832477722447016,0.9414495640441981,0.06033449148634913,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
