dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std
ETTm1,DLinear_L336,720,5,OT,univariate target-only,0.03790232974206304,0.011854813825315915,0.1599376390111224,0.03147417622937903,0.06632508024664115,0.015234975834641036,0.01736570758028197,0.01723345624864732,1.1771450687881453,0.23337010046948514,0.20644340422787205,0.12315590538568787,0.5526733344305804,0.1659719577823728,0.6274068884438839,0.2905346857771897
ETTm1,DLinear_L720,720,5,OT,univariate target-only,0.04327103678130653,0.024670982960068446,0.1693296508211382,0.058191147422815115,0.07377113417222428,0.03724574649331404,0.04209243067628139,0.039396173809503374,1.2151292062624526,0.16235515878484322,0.20851743064373665,0.10022172380851097,0.5484353037530825,0.09535790600078538,0.6125916701853626,0.1719420859284358
ETTm1,PatchTST_L336,720,5,OT,univariate target-only,0.062478869541297125,0.03914772192117212,0.20218552857908634,0.07200969562935007,0.09845419116344405,0.031203810396762167,0.037891106766624855,0.03391929485819992,0.6680585099528982,0.1449185551102227,0.4251710331176253,0.24214414539146414,0.5492734155833541,0.2285299168128755,0.6641283650783218,0.39763310937755914
ETTm1,PatchTST_L720,720,5,OT,univariate target-only,0.04642999942588756,0.02740354553837672,0.16991532760284236,0.06178446587564053,0.0641642390358809,0.027272415758747278,0.026444427163917827,0.018506481842023872,0.8897378449334626,0.1797103155563299,0.2059658216640204,0.04089700208382708,0.5660080941590795,0.14812488442032107,0.5984162814682639,0.2762387281322326
ETTm1,iTransformer_L336,720,5,OT,univariate target-only,0.03326830070748317,0.005613220667704892,0.15106325453241468,0.017116496856384743,0.0756483286408018,0.02353840248917206,0.008201569431618051,0.006678482992122832,0.34339874517568025,0.04520293922797522,1.0755534892623844,0.12817063414423796,0.45761856046617233,0.24337308716418524,0.892024702113239,0.5300559477728234
ETTm1,iTransformer_L720,720,5,OT,univariate target-only,0.04098074309462524,0.020983665462062713,0.16643819743562507,0.04996980236477711,0.0893310246718981,0.03488874327244155,0.02548310756299494,0.025333743671228585,0.33809425009808586,0.08587097787914275,1.1096623537962702,0.24940687113082188,0.38058883480322236,0.20172205213288358,1.0873287367534836,0.5604791540082452
Weather,DLinear_L336,720,5,OT,univariate target-only,0.0014652461942339975,0.001287392000924365,0.028153792969550645,0.011779876406917734,0.013325205939451423,0.00868126492073162,0.011874274810191019,0.015417661504487349,2.4404595466262182,1.3914843653189448,0.7577483797013398,0.5820243433578529,0.4859491953473164,0.34613887270888066,0.9277965544522134,0.691815609769985
Weather,DLinear_L720,720,5,OT,univariate target-only,0.0017050225262097711,0.0016140983930814905,0.030204294716931333,0.014117875626894424,0.015325254034880501,0.011187461795604984,0.009589513118345003,0.007650989927020677,2.0968229561222964,1.077099009657837,0.6356823729155648,0.551328702439827,0.4796416117960728,0.33766140512634185,0.9449393556161644,0.7376340655622424
Weather,PatchTST_L336,720,5,OT,univariate target-only,0.0013979834157107855,0.0011589310323929548,0.027996693798977162,0.010371064058810022,0.012604192749952937,0.008253568802349813,0.025191459800158512,0.026174227649213778,0.5843391413185361,0.29164882234599115,0.67330340239176,0.6283818725927263,0.47377826731136397,0.3008097036815694,1.0487340055483596,1.0522724424320105
Weather,PatchTST_L720,720,5,OT,univariate target-only,0.001630364814222563,0.0013576610253070729,0.030002177187058415,0.012818756009790275,0.013787937363960875,0.008563673881604247,0.017945598060866878,0.010721020577635602,0.8160198328153321,0.4212643895490736,0.48583087568142796,0.5985310717424295,0.599962563234161,0.45401255255003825,0.9245179791092241,0.8571782802506325
Weather,iTransformer_L336,720,5,OT,univariate target-only,0.0012937544311655905,0.0008273746997439317,0.02890206346540607,0.008138781753753885,0.021742613843310294,0.0071456487374311475,0.0033460174776568296,0.004760031718677971,0.8728655991961041,0.6404502935969182,0.7356406485917404,0.3692755752861284,0.14995551214087954,0.12397995007064931,2.2049489613999524,0.8868212510418055
Weather,iTransformer_L720,720,5,OT,univariate target-only,0.0014686418324553337,0.0010306951484759257,0.030092330908801722,0.008636966995467505,0.025863383199740752,0.009567144258993562,0.0007656348627193665,0.0006531782074232645,0.4634289007569977,0.3911977970631591,1.2194691389498058,1.1572080825189057,0.07885033559529396,0.07636492178213677,3.036267392832007,1.2464285883372397
