dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std
ESNet,Chronos-2,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,0.0012196389397888176,0.0001890935402167961,6.717759711200974,0.16292733113573496,0.0006915931539546111,0.00015985437652052845,7.296301328700177,0.24996969306212063
ESNet,DLinear,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,0.002774958441813153,0.0010035314811238664,5.940880648445624,0.4215164265345088,0.0007214590106707372,0.00022067528574865183,7.270888795362342,0.3444462158884076
ESNet,PatchTST,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,0.038693699302389896,0.017685467775002135,3.3353139914474834,0.5218037717165895,0.009883596579612354,0.0037189211030708835,4.6711684090888825,0.4174609078851236
ESNet,TimeMixer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4664211678583186,0.14964891482866824,0.23319364862551328,0.007847613221520949,0.22377318493903128,0.010407269405412792,5.112577523945326e-05,4.646460761550542e-05,0.030743664810998748,0.013372564824285674,3.557977854370874,0.4988885668310748,0.007955686413836439,0.0031801906875709935,4.893646329334618,0.4357029499644491
ESNet,iTransformer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4574577363777912,0.16175397718462156,0.27883276342015423,0.045506305114470805,0.2720182141926769,0.04897166795471164,5.9760722514916206e-05,9.593984435865663e-05,0.03186028644869173,0.015549650962808902,3.551324749716682,0.59869826680671,0.008206986520545483,0.003574789192410219,4.883957714994595,0.5229105912933676
ETTh1,Chronos-2,720,4,OT,univariate target-only,0.1430954717345242,0.06705622984920227,0.29753126806269087,0.0741685471179016,0.17760545965396107,0.07564934148685752,0.02108969315209392,0.016542323012836032,0.27509491900953104,0.1316138380830994,1.4031854527175929,0.5900130197682101,0.32359704488336616,0.16156436063646204,1.2824807189620109,0.7256455631716388
ETTh1,DLinear,720,4,OT,univariate target-only,0.07078147471825394,0.02694494393408335,0.208351457344015,0.0439163776366091,0.09196619451591206,0.03337193829366013,0.026314172062525443,0.016772178276685153,0.9110624894454282,0.15534993125689758,0.16308044058371135,0.07675421016251868,0.43858418570502483,0.09713901343338771,0.845366354365781,0.24597712233132613
ETTh1,PatchTST,720,4,OT,univariate target-only,0.11917472992048969,0.037510561782274236,0.2758946051256187,0.04978999013201107,0.11147825179224174,0.05735094744308551,0.01917083727140629,0.010968846329369614,0.6313137456361761,0.12882610282069062,0.4771190126635483,0.21908537824055127,0.5524120500232081,0.2016056397438328,0.6560418485717574,0.4320794444701631
ETTh1,TimeMixer,720,4,OT,univariate target-only,0.1277115332818733,0.10867958687701916,0.28528032925304203,0.14358952161866134,0.12873191109437845,0.10535636317465731,0.05623378831582647,0.0419661355398663,0.6584452540362495,0.1341826059227476,0.4322518739693364,0.19186449966160998,0.4151874718808281,0.1301934979389991,0.915995825490056,0.3150474000744699
ETTh1,TimesFM,720,4,OT,univariate target-only,0.08915071722720412,0.06981400207328883,0.21944415767987568,0.08544474106101788,0.1322812348553964,0.07411936708011851,0.009864796529607518,0.009149379928143039,0.22679976127553347,0.13981057158356075,1.7839946936651094,1.0799411412851245,0.3168198902579607,0.15158074453614565,1.2660386253995526,0.6047132263122368
ETTh1,iTransformer,720,4,OT,univariate target-only,0.08189988619726193,0.04564037337246985,0.21301100730032588,0.06206983094949178,0.11651201850159666,0.042743486214538044,0.008773702053873626,0.003589078424533995,0.4188085059222827,0.12816255408275168,0.9073922896963698,0.31785967148619615,0.2583793228907763,0.09622329461844567,1.4130983273461681,0.4130899135159499
ETTm1,Chronos-2,720,6,OT,univariate target-only,0.14536461113019,0.16978222251339412,0.2894517760378895,0.18978681577554085,0.21707295905776114,0.1935252285388382,0.01665730838816978,0.01889884096817181,0.14573435653886377,0.04045361645577319,1.9678457984344442,0.33956577661537124,0.19411590270009974,0.16538767775517368,1.9944552746490192,0.9581491693395622
ETTm1,DLinear,720,6,OT,univariate target-only,0.13350793931847213,0.11690802737220841,0.28326866844391063,0.15630899039789473,0.19697103835556998,0.14180772386345677,0.0066064482160551235,0.007052768568266378,1.2897075335410322,0.25407972732092166,0.258628001727023,0.16656244104983361,0.4938720194842579,0.05452667612629284,0.7109058531755043,0.11603481531453708
ETTm1,PatchTST,720,6,OT,univariate target-only,0.13886940551989513,0.13750101924766372,0.2876465171676295,0.1675999328984031,0.1987596815781559,0.149161734347502,0.019679358072922162,0.02839386028454183,0.6862908473764362,0.1215882066187979,0.3905081503475521,0.1871706148948072,0.44633373933608217,0.08115827871346926,0.8215277404363736,0.19226195731295942
ETTm1,TimeMixer,720,6,OT,univariate target-only,0.15775614324291,0.13418481706803018,0.3121146383539093,0.16404937987193685,0.2091372175911387,0.14642645797910353,0.015525500856372032,0.012115946901615543,0.5856680558567647,0.1433470387235095,0.5576336514749655,0.22792086014857693,0.4412466336218521,0.04480725291971734,0.82243151626359,0.10125307149207873
ETTm1,TimesFM,720,6,OT,univariate target-only,0.17942160677892302,0.16393891464517912,0.3307287146440811,0.19783947653985925,0.253030847351978,0.1983362295447543,0.008914766166787614,0.012456483815975694,0.05805587937979492,0.03841651498374858,3.0682416131323786,0.7701650128793454,0.14571223444572357,0.1408319357196324,2.3592938971435515,1.0890012134922906
ETTm1,iTransformer,720,6,OT,univariate target-only,0.13408165251116452,0.10988239406930708,0.28680123646427375,0.14666267590251028,0.1684118631867695,0.09833769199373987,0.04287687566880726,0.05426615381654914,0.340698332010037,0.06045958049366604,1.0892267609942181,0.17086119708052822,0.4705564585388822,0.20089636718479884,0.8503238290472006,0.5109936790146862
ETTm2,Chronos-2,720,6,OT,univariate target-only,0.33229031834588857,0.2254717511150775,0.4516968650127738,0.21367000292677243,0.2868959543314338,0.22351956202155343,0.013097638511619795,0.021597994080050947,1.0895996119963718,1.2158474916265576,0.9637007531592349,0.6877650510230497,0.9533507186557779,1.064300790729153,1.1516159849803724,1.1091615154742847
ETTm2,DLinear,720,6,OT,univariate target-only,0.2552350106439707,0.20825971018102088,0.4004696009614339,0.20196280973060854,0.23645407791120562,0.20342910366534253,0.012775591524454887,0.02247866645575682,3.3654368260573815,1.3825909401653391,1.134224202902715,0.44813101337108935,0.8613040302410946,0.2800399082985372,0.30211829895862097,0.06270756389623994
ETTm2,PatchTST,720,6,OT,univariate target-only,0.2340700640164789,0.1978788253457866,0.3829246654657767,0.19136448772354103,0.2187900923516153,0.1947407376618963,0.013858998696012518,0.024540595302573298,1.893833758870743,0.5752756507908764,0.6009426127072107,0.3002550272378984,0.9175298459211736,0.4091024560589508,0.3340394004010718,0.251437230593603
ETTm2,TimeMixer,720,6,OT,univariate target-only,0.26324838935781864,0.20988116544079682,0.3981869168410442,0.20975826804863634,0.2401248607112706,0.18441137802633575,0.012015636609061789,0.019987338885387257,1.9343728728730802,0.6874035944861943,0.6190101986810653,0.2929137279636626,0.9605764454610982,0.4033244996056558,0.2859558638664172,0.19054498598808636
