dataset,model,horizon_len,n_windows,target_col,input_mode,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,total_variation_ratio_mean,total_variation_ratio_std,total_variation_ratio_error_mean,total_variation_ratio_error_std,high_frequency_energy_ratio_mean,high_frequency_energy_ratio_std,high_frequency_energy_ratio_error_mean,high_frequency_energy_ratio_error_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std,total_variation_ratio_mean_pm_std,total_variation_ratio_error_mean_pm_std,high_frequency_energy_ratio_mean_pm_std,high_frequency_energy_ratio_error_mean_pm_std
ESNet,Chronos-2,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,0.0012196389397888176,0.0001890935402167961,6.717759711200974,0.16292733113573496,0.0006915931539546111,0.00015985437652052845,7.296301328700177,0.24996969306212063,1.4789 $\pm$ 0.1468,0.2066 $\pm$ 0.0182,0.1751 $\pm$ 0.0438,0.0151 $\pm$ 0.0251,0.0012 $\pm$ 0.0002,6.7178 $\pm$ 0.1629,0.0007 $\pm$ 0.0002,7.2963 $\pm$ 0.2500
ESNet,DLinear,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,0.002774958441813153,0.0010035314811238664,5.940880648445624,0.4215164265345088,0.0007214590106707372,0.00022067528574865183,7.270888795362342,0.3444462158884076,1.4777 $\pm$ 0.1460,0.2040 $\pm$ 0.0170,0.1524 $\pm$ 0.0145,0.0025 $\pm$ 0.0004,0.0028 $\pm$ 0.0010,5.9409 $\pm$ 0.4215,0.0007 $\pm$ 0.0002,7.2709 $\pm$ 0.3444
ESNet,PatchTST,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,0.038693699302389896,0.017685467775002135,3.3353139914474834,0.5218037717165895,0.009883596579612354,0.0037189211030708835,4.6711684090888825,0.4174609078851236,1.4794 $\pm$ 0.1433,0.2144 $\pm$ 0.0153,0.1891 $\pm$ 0.0075,0.0003 $\pm$ 0.0003,0.0387 $\pm$ 0.0177,3.3353 $\pm$ 0.5218,0.0099 $\pm$ 0.0037,4.6712 $\pm$ 0.4175
ESNet,TimeMixer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4664211678583186,0.14964891482866824,0.23319364862551328,0.007847613221520949,0.22377318493903128,0.010407269405412792,5.112577523945326e-05,4.646460761550542e-05,0.030743664810998748,0.013372564824285674,3.557977854370874,0.4988885668310748,0.007955686413836439,0.0031801906875709935,4.893646329334618,0.4357029499644491,1.4664 $\pm$ 0.1496,0.2332 $\pm$ 0.0078,0.2238 $\pm$ 0.0104,0.0001 $\pm$ 0.0000,0.0307 $\pm$ 0.0134,3.5580 $\pm$ 0.4989,0.0080 $\pm$ 0.0032,4.8936 $\pm$ 0.4357
ESNet,iTransformer,4321,3,ifHCOutOctets_to_bps,univariate target-only,1.4574577363777912,0.16175397718462156,0.27883276342015423,0.045506305114470805,0.2720182141926769,0.04897166795471164,5.9760722514916206e-05,9.593984435865663e-05,0.03186028644869173,0.015549650962808902,3.551324749716682,0.59869826680671,0.008206986520545483,0.003574789192410219,4.883957714994595,0.5229105912933676,1.4575 $\pm$ 0.1618,0.2788 $\pm$ 0.0455,0.2720 $\pm$ 0.0490,0.0001 $\pm$ 0.0001,0.0319 $\pm$ 0.0155,3.5513 $\pm$ 0.5987,0.0082 $\pm$ 0.0036,4.8840 $\pm$ 0.5229
ETTh1,Chronos-2,720,4,OT,univariate target-only,0.1430954717345242,0.06705622984920227,0.29753126806269087,0.0741685471179016,0.17760545965396107,0.07564934148685752,0.02108969315209392,0.016542323012836032,0.27509491900953104,0.1316138380830994,1.4031854527175929,0.5900130197682101,0.32359704488336616,0.16156436063646204,1.2824807189620109,0.7256455631716388,0.1431 $\pm$ 0.0671,0.2975 $\pm$ 0.0742,0.1776 $\pm$ 0.0756,0.0211 $\pm$ 0.0165,0.2751 $\pm$ 0.1316,1.4032 $\pm$ 0.5900,0.3236 $\pm$ 0.1616,1.2825 $\pm$ 0.7256
ETTh1,DLinear,720,4,OT,univariate target-only,0.07078147471825394,0.02694494393408335,0.208351457344015,0.0439163776366091,0.09196619451591206,0.03337193829366013,0.026314172062525443,0.016772178276685153,0.9110624894454282,0.15534993125689758,0.16308044058371135,0.07675421016251868,0.43858418570502483,0.09713901343338771,0.845366354365781,0.24597712233132613,0.0708 $\pm$ 0.0269,0.2084 $\pm$ 0.0439,0.0920 $\pm$ 0.0334,0.0263 $\pm$ 0.0168,0.9111 $\pm$ 0.1553,0.1631 $\pm$ 0.0768,0.4386 $\pm$ 0.0971,0.8454 $\pm$ 0.2460
ETTh1,PatchTST,720,4,OT,univariate target-only,0.11917472992048969,0.037510561782274236,0.2758946051256187,0.04978999013201107,0.11147825179224174,0.05735094744308551,0.01917083727140629,0.010968846329369614,0.6313137456361761,0.12882610282069062,0.4771190126635483,0.21908537824055127,0.5524120500232081,0.2016056397438328,0.6560418485717574,0.4320794444701631,0.1192 $\pm$ 0.0375,0.2759 $\pm$ 0.0498,0.1115 $\pm$ 0.0574,0.0192 $\pm$ 0.0110,0.6313 $\pm$ 0.1288,0.4771 $\pm$ 0.2191,0.5524 $\pm$ 0.2016,0.6560 $\pm$ 0.4321
ETTh1,TimeMixer,720,4,OT,univariate target-only,0.1277115332818733,0.10867958687701916,0.28528032925304203,0.14358952161866134,0.12873191109437845,0.10535636317465731,0.05623378831582647,0.0419661355398663,0.6584452540362495,0.1341826059227476,0.4322518739693364,0.19186449966160998,0.4151874718808281,0.1301934979389991,0.915995825490056,0.3150474000744699,0.1277 $\pm$ 0.1087,0.2853 $\pm$ 0.1436,0.1287 $\pm$ 0.1054,0.0562 $\pm$ 0.0420,0.6584 $\pm$ 0.1342,0.4323 $\pm$ 0.1919,0.4152 $\pm$ 0.1302,0.9160 $\pm$ 0.3150
ETTh1,TimesFM,720,4,OT,univariate target-only,0.08915071722720412,0.06981400207328883,0.21944415767987568,0.08544474106101788,0.1322812348553964,0.07411936708011851,0.009864796529607518,0.009149379928143039,0.22679976127553347,0.13981057158356075,1.7839946936651094,1.0799411412851245,0.3168198902579607,0.15158074453614565,1.2660386253995526,0.6047132263122368,0.0892 $\pm$ 0.0698,0.2194 $\pm$ 0.0854,0.1323 $\pm$ 0.0741,0.0099 $\pm$ 0.0091,0.2268 $\pm$ 0.1398,1.7840 $\pm$ 1.0799,0.3168 $\pm$ 0.1516,1.2660 $\pm$ 0.6047
